1;Antonio Manso Pacífico;(11) 9.9999-1111
2;Afília Demaria De Nazaré;(11) 9.9999-2222
3;Elvis Presley Da Silva;(11) 9.9999-3333
4;Faraó do Egito Sousa;(12) 9.9999-4444
5;Finada da Cruz;(12) 9.9999-5555
6;Jean Claude Van Dame Da Silva;(12) 9.9999-6666
7;José Catarrinho;(51) 9.9999-7777
8;Maiquel Edy Marfy;(51) 9.9999-8888
9;Salvador Das Dores;(51) 9.9999-9999
1;Antonio Manso PacÃ­fico;(11) 9.9999-1111
2;AfÃ­lia Demaria De NazarÃ©;(11) 9.9999-2222
3;Elvis Presley Da Silva;(11) 9.9999-3333
4;FaraÃ³ do Egito Sousa;(12) 9.9999-4444
5;Finada da Cruz;(12) 9.9999-5555
6;Jean Claude Van Dame Da Silva;(12) 9.9999-6666
7;JosÃ© Catarrinho;(51) 9.9999-7777
8;Maiquel Edy Marfy;(51) 9.9999-8888
9;Salvador Das Dores;(51) 9.9999-9999
